"nome","sku","departamento","categoria","img","valor","desconto","dt_hora"
"ARROZ NEGRO BLUE VILLE SELVAGEM 200G",193,"Arroz, Feijão e Grãos","alimentos","https://d2om08pcbtz1n1.cloudfront.net/bluevillearroznegro200g657.jpg",26.99,0,"1654631227.950051"
"ARROZ PARA CARRETEIRO BLUE VILLE CULINÁRIA GAÚCHA 1KG",194,"Arroz, Feijão e Grãos","alimentos","https://d2om08pcbtz1n1.cloudfront.net/bluevillecarreteriro512.jpg",9.99,0,"1654631233.23385"
"ARROZ PARA CULINÁRIA BLUE VILLE NATURALISTA 1KG",195,"Arroz, Feijão e Grãos","alimentos","https://d2om08pcbtz1n1.cloudfront.net/ARROZJNATURALISTA576.jpg",10.79,0,"1654631238.401047"
"ARROZ PARBOILIZADO BLUE VILLE SAQUINHOS DE 125G",196,"Arroz, Feijão e Grãos","alimentos","https://d2om08pcbtz1n1.cloudfront.net/ARROZPARBOILIZADOSAQUINHO576.jpg",5.49,0,"1654631243.707189"
"ARROZ À GREGA BLUE VILLE 250G",197,"Arroz, Feijão e Grãos","alimentos","https://d2om08pcbtz1n1.cloudfront.net/ARROZGREGA265.jpg",5.29,0,"1654631248.945588"
"ARROZ ARBORIO RISO INVERNI 500G",198,"Arroz, Feijão e Grãos","alimentos","https://d2om08pcbtz1n1.cloudfront.net/produtos_1458849779_Pu0Ssbxj5Jvtx5xR1V2lY6u9ACdHa5.jpg",15.29,8,"1654631254.294262"
"ARROZ BASMATI LA PASTINA 500G",199,"Arroz, Feijão e Grãos","alimentos","https://d2om08pcbtz1n1.cloudfront.net/9c95e418-d423-4a9c-94de-9f0d5a2f9867.jpg",16.99,0,"1654631255.514934"
"ARROZ E CIA BLUE VILLE CENOURA 250G",200,"Arroz, Feijão e Grãos","alimentos","https://d2om08pcbtz1n1.cloudfront.net/ARROZCENOURA576.jpg",3.29,0,"1654631262.872448"
"FEIJÃO CARIOCA KICALDO 1KG",250,"Arroz, Feijão e Grãos","alimentos","https://d2om08pcbtz1n1.cloudfront.net/kicaldo-feijao-carioca.jpg",8.39,16,"1654631519.636632"
"ARROZ E CIA BLUE VILLE ERVAS FINAS 250G",201,"Arroz, Feijão e Grãos","alimentos","https://d2om08pcbtz1n1.cloudfront.net/ARROZERVASFINAS576.jpg",3.29,0,"1654631267.919146"
"ARROZ E CIA BLUE VILLE ESPINAFRE 250G",202,"Arroz, Feijão e Grãos","alimentos","https://d2om08pcbtz1n1.cloudfront.net/ARROZESPINAFRE576.jpg",3.29,0,"1654631273.082036"
"ARROZ ITALIANO ARBORIO LA PASTINA 1KG",203,"Arroz, Feijão e Grãos","alimentos","https://d2om08pcbtz1n1.cloudfront.net/f74489c0-547d-47dc-9ef3-7f9bbf490111.jpg",19.99,6,"1654631278.216093"
